ID,year,age,sex,status,education,jobclass,health,health_ins,wage
1589,2003,38,Male,Married,Advanced Degree,Information,Very Good,Yes,91.69922611
1590,2005,25,Male,Never Married,College Grad,Information,Very Good,Yes,85.38394038
1591,2005,64,Male,Married,HS Grad,Information,Good,Yes,109.8339856
1592,2003,49,Male,Married,College Grad,Industrial,Very Good,Yes,114.4757133
1593,2009,46,Male,Married,College Grad,Industrial,Very Good,Yes,84.31576886
1594,2006,30,Male,Married,Advanced Degree,Information,Very Good,Yes,114.4757133
1595,2003,33,Male,Never Married,Some College,Industrial,Good,No,57.35259108
1596,2007,29,Male,Married,College Grad,Information,Very Good,Yes,104.9215065
1597,2008,32,Male,Married,HS Grad,Information,Very Good,Yes,125.5254984
1598,2007,54,Male,Married,HS Grad,Information,Good,Yes,108.8745258
1599,2005,40,Male,Never Married,HS Grad,Industrial,Good,Yes,65.11085372
1600,2005,24,Male,Never Married,College Grad,Industrial,Very Good,Yes,109.8339856
1601,2008,30,Male,Separated,Less than HS Grad,Industrial,Good,No,70.81503862
1602,2009,49,Male,Married,College Grad,Industrial,Very Good,Yes,145.1436012
1603,2006,47,Male,Married,HS Grad,Industrial,Good,Yes,101.8243521
1604,2008,25,Male,Never Married,HS Grad,Industrial,Very Good,No,84.04595765
1605,2007,44,Male,Married,Some College,Industrial,Very Good,Yes,134.7053751
1606,2007,41,Male,Divorced,Less than HS Grad,Information,Good,Yes,97.49329405
1607,2005,54,Male,Separated,College Grad,Industrial,Very Good,Yes,154.685293
1608,2009,59,Male,Married,Advanced Degree,Information,Very Good,Yes,200.5432623
1609,2003,25,Male,Never Married,HS Grad,Industrial,Very Good,No,59.73422334
1610,2009,63,Male,Married,Advanced Degree,Industrial,Very Good,No,91.69922611
1611,2009,49,Male,Never Married,Some College,Information,Very Good,Yes,109.8339856
1612,2008,35,Male,Separated,Some College,Information,Very Good,Yes,114.4757133
1613,2006,24,Male,Never Married,HS Grad,Industrial,Good,No,66.22940829
1614,2003,66,Male,Married,HS Grad,Industrial,Good,Yes,92.89584479
1615,2008,57,Male,Married,Less than HS Grad,Industrial,Very Good,No,94.07271475
1616,2003,47,Male,Married,College Grad,Information,Very Good,Yes,118.8843593
1617,2006,44,Male,Married,College Grad,Industrial,Good,Yes,132.4878211
1618,2006,56,Male,Married,College Grad,Industrial,Very Good,Yes,127.1157438
1619,2004,34,Male,Married,HS Grad,Information,Good,No,99.6894637
1620,2006,23,Male,Married,Less than HS Grad,Industrial,Very Good,No,40.40566526
1621,2008,30,Male,Married,College Grad,Industrial,Very Good,Yes,138.2991269
1622,2004,38,Male,Married,Some College,Industrial,Very Good,No,102.8702469
1623,2004,43,Male,Married,Less than HS Grad,Information,Very Good,Yes,79.85490031
1624,2007,58,Male,Divorced,Some College,Information,Good,Yes,111.7208494
1625,2005,36,Male,Married,HS Grad,Industrial,Very Good,No,62.19867943
1626,2007,48,Male,Never Married,HS Grad,Information,Good,Yes,70.47601965
1627,2005,35,Male,Married,HS Grad,Information,Very Good,Yes,86.04280113
1628,2006,22,Male,Never Married,HS Grad,Information,Very Good,No,99.6894637
1629,2007,50,Male,Married,College Grad,Information,Very Good,Yes,113.5670896
1630,2004,58,Male,Married,Less than HS Grad,Industrial,Good,No,100.7642728
1631,2003,20,Male,Never Married,HS Grad,Information,Very Good,No,61.18752643
1632,2007,44,Male,Married,HS Grad,Industrial,Very Good,Yes,113.6127457
1633,2003,50,Male,Married,College Grad,Information,Very Good,Yes,134.7053751
1634,2009,55,Male,Married,HS Grad,Industrial,Very Good,Yes,104.9235317
1635,2003,39,Male,Never Married,HS Grad,Information,Very Good,Yes,109.8339856
1636,2008,32,Male,Never Married,College Grad,Information,Very Good,Yes,276.7784133
1637,2008,50,Male,Married,College Grad,Information,Very Good,No,148.4131591
1638,2009,24,Male,Married,Less than HS Grad,Industrial,Very Good,No,148.4131591
1639,2009,53,Male,Married,Some College,Information,Very Good,Yes,109.8339856
1640,2003,35,Male,Married,HS Grad,Information,Good,No,81.28325328
1641,2003,25,Male,Never Married,Less than HS Grad,Information,Very Good,Yes,79.85490031
1642,2006,24,Male,Never Married,College Grad,Industrial,Very Good,Yes,109.8339856
1643,2005,57,Male,Separated,College Grad,Industrial,Very Good,Yes,148.4131591
1644,2005,43,Male,Married,Less than HS Grad,Information,Good,Yes,65.11085372
1645,2009,33,Male,Married,Some College,Information,Very Good,Yes,88.29869947
1646,2005,40,Male,Married,Some College,Information,Very Good,Yes,91.69922611
1647,2008,39,Male,Never Married,College Grad,Industrial,Very Good,Yes,73.77574327
1648,2004,32,Male,Married,Advanced Degree,Information,Very Good,Yes,70.47601965
1649,2005,48,Male,Divorced,College Grad,Information,Very Good,Yes,128.6804882
1650,2004,29,Male,Married,Advanced Degree,Industrial,Very Good,Yes,94.07271475
1651,2005,35,Male,Divorced,College Grad,Industrial,Very Good,Yes,98.59934386
1652,2004,41,Male,Married,HS Grad,Industrial,Very Good,Yes,133.2323508
1653,2009,52,Male,Married,HS Grad,Industrial,Very Good,Yes,134.7053751
1654,2005,50,Male,Married,HS Grad,Industrial,Good,No,91.69922611
1655,2004,35,Male,Married,College Grad,Information,Very Good,No,160.6354986
1656,2007,27,Male,Married,Some College,Industrial,Very Good,Yes,99.6894637
1657,2004,57,Male,Married,Advanced Degree,Industrial,Good,Yes,114.4757133
1658,2004,48,Male,Married,Some College,Information,Very Good,No,97.49329405
1659,2009,41,Male,Divorced,Some College,Information,Good,Yes,98.04835051
1660,2005,59,Male,Married,Advanced Degree,Information,Very Good,Yes,104.9215065
1661,2003,55,Male,Married,College Grad,Information,Very Good,Yes,109.8339856
1662,2005,54,Male,Divorced,HS Grad,Information,Good,Yes,133.2323508
1663,2003,34,Male,Married,Advanced Degree,Industrial,Very Good,Yes,118.8843593
1664,2009,43,Male,Never Married,HS Grad,Information,Good,Yes,73.77574327
1665,2003,43,Male,Divorced,College Grad,Information,Very Good,Yes,104.9215065
1666,2003,62,Male,Widowed,Less than HS Grad,Industrial,Good,No,62.03030461
1667,2006,45,Male,Never Married,HS Grad,Information,Very Good,No,97.49329405
1668,2004,40,Male,Married,College Grad,Industrial,Very Good,Yes,145.8051634
1669,2003,33,Male,Married,HS Grad,Information,Very Good,Yes,82.6796373
1670,2005,45,Male,Married,Advanced Degree,Information,Good,Yes,148.4131591
1671,2009,21,Male,Never Married,Some College,Industrial,Very Good,No,49.55533812
1672,2009,54,Male,Married,Less than HS Grad,Industrial,Good,No,73.77574327
1673,2003,43,Male,Married,College Grad,Industrial,Very Good,No,73.77574327
1674,2004,54,Male,Married,College Grad,Industrial,Good,Yes,127.1157438
1675,2004,35,Male,Married,Less than HS Grad,Industrial,Good,Yes,109.8339856
1676,2008,23,Male,Never Married,Some College,Industrial,Very Good,Yes,61.59458318
1677,2006,61,Male,Widowed,HS Grad,Industrial,Very Good,Yes,111.4404696
1678,2004,51,Male,Divorced,College Grad,Industrial,Very Good,Yes,138.2991269
1679,2006,43,Male,Married,Some College,Industrial,Very Good,Yes,127.1157438
1680,2003,20,Male,Never Married,HS Grad,Industrial,Very Good,No,75.35567932
1681,2007,51,Male,Married,Some College,Industrial,Very Good,Yes,139.0034081
1682,2009,65,Male,Married,HS Grad,Information,Good,Yes,118.8843593
1683,2009,37,Male,Married,HS Grad,Industrial,Very Good,Yes,109.8339856
1684,2008,24,Male,Never Married,HS Grad,Industrial,Very Good,No,66.23309573
1685,2003,36,Male,Married,HS Grad,Industrial,Good,Yes,73.29308207
1686,2005,45,Male,Married,Some College,Information,Very Good,No,130.9821774
1687,2008,33,Male,Married,Advanced Degree,Information,Very Good,Yes,276.7784133
1688,2009,36,Male,Divorced,HS Grad,Industrial,Good,No,86.91032774
1689,2004,32,Male,Married,HS Grad,Industrial,Very Good,Yes,109.8339856
1690,2009,45,Male,Married,HS Grad,Industrial,Very Good,Yes,118.8843593
1691,2003,51,Male,Married,HS Grad,Industrial,Very Good,No,104.9215065
1692,2005,33,Male,Married,Some College,Information,Very Good,Yes,136.8763676
1693,2003,47,Male,Divorced,Some College,Industrial,Good,Yes,84.04595765
1694,2003,37,Male,Married,Advanced Degree,Information,Very Good,Yes,196.1252726
1695,2008,41,Male,Married,Some College,Information,Good,Yes,121.4303138
1696,2005,23,Male,Never Married,HS Grad,Information,Very Good,No,96.3977959
1697,2009,57,Male,Married,College Grad,Industrial,Very Good,Yes,128.6804882
1698,2006,61,Male,Married,Advanced Degree,Information,Very Good,Yes,148.4131591
1699,2007,47,Male,Divorced,Some College,Industrial,Very Good,Yes,85.38394038
1700,2003,29,Male,Married,College Grad,Information,Very Good,Yes,87.98103279
1701,2005,37,Male,Married,HS Grad,Industrial,Very Good,Yes,99.6894637
1702,2005,57,Male,Married,HS Grad,Industrial,Good,Yes,148.4131591
1703,2004,39,Male,Never Married,Advanced Degree,Information,Good,No,81.28325328
1704,2007,59,Male,Married,College Grad,Information,Very Good,Yes,145.8051634
1705,2007,31,Male,Married,College Grad,Information,Very Good,Yes,149.0558956
1706,2009,26,Male,Never Married,HS Grad,Industrial,Good,No,97.49329405
1707,2009,51,Male,Married,HS Grad,Industrial,Very Good,Yes,118.0197533
1708,2006,38,Male,Married,HS Grad,Industrial,Good,No,99.6894637
1709,2006,51,Male,Married,College Grad,Information,Good,No,118.8843593
1710,2004,50,Male,Married,HS Grad,Information,Very Good,Yes,79.85490031
1711,2005,32,Male,Married,Advanced Degree,Industrial,Very Good,Yes,118.8843593
1712,2007,38,Male,Married,College Grad,Information,Very Good,Yes,160.6424754
1713,2005,49,Male,Married,HS Grad,Industrial,Very Good,Yes,176.9896505
1714,2005,40,Male,Never Married,Some College,Information,Very Good,Yes,73.77574327
1715,2007,60,Male,Married,Advanced Degree,Information,Good,Yes,154.685293
1716,2007,30,Male,Never Married,College Grad,Information,Very Good,Yes,101.8243521
1717,2003,41,Male,Married,College Grad,Information,Very Good,Yes,130.9821774
1718,2009,32,Male,Never Married,Some College,Information,Good,Yes,114.4757133
1719,2009,26,Male,Never Married,College Grad,Information,Very Good,Yes,105.9278108
1720,2004,41,Male,Married,Some College,Industrial,Good,Yes,81.28325328
1721,2008,53,Male,Married,HS Grad,Industrial,Good,Yes,134.7053751
1722,2005,35,Male,Married,Some College,Information,Very Good,No,97.49329405
1723,2008,50,Male,Married,HS Grad,Industrial,Very Good,Yes,109.8339856
1724,2004,43,Male,Married,College Grad,Information,Very Good,Yes,171.7651326
1725,2003,50,Male,Separated,HS Grad,Information,Good,Yes,67.82678713
1726,2009,19,Male,Never Married,HS Grad,Information,Good,No,73.77574327
1727,2004,42,Male,Married,HS Grad,Industrial,Very Good,No,91.69922611
1728,2007,53,Male,Married,HS Grad,Industrial,Very Good,Yes,66.96164432
1729,2004,22,Male,Never Married,Some College,Information,Good,No,95.23071257
1730,2003,49,Male,Married,HS Grad,Industrial,Good,Yes,98.59934386
1731,2005,33,Male,Never Married,HS Grad,Industrial,Very Good,Yes,109.8339856
1732,2005,31,Male,Never Married,HS Grad,Industrial,Good,Yes,81.28325328
1733,2004,43,Male,Married,Less than HS Grad,Industrial,Good,Yes,90.48191336
1734,2009,57,Male,Married,Advanced Degree,Information,Very Good,No,109.8339856
1735,2005,40,Male,Married,Advanced Degree,Information,Very Good,Yes,148.4131591
1736,2003,48,Male,Married,HS Grad,Information,Very Good,Yes,84.52946902
1737,2004,46,Male,Married,College Grad,Industrial,Very Good,Yes,101.8243521
1738,2009,58,Male,Married,College Grad,Industrial,Very Good,Yes,104.9215065
1739,2003,50,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,104.9215065
1740,2005,38,Male,Married,Some College,Information,Very Good,Yes,99.6894637
1741,2004,33,Male,Never Married,Advanced Degree,Information,Very Good,Yes,101.4020523
1742,2007,52,Male,Married,Some College,Information,Very Good,Yes,149.0558956
1743,2004,48,Male,Married,Less than HS Grad,Industrial,Good,No,73.77574327
1744,2006,53,Male,Married,Advanced Degree,Information,Very Good,No,160.6424754
1745,2008,37,Male,Never Married,Some College,Information,Very Good,Yes,118.8843593
1746,2007,43,Male,Married,HS Grad,Industrial,Very Good,No,119.4052043
1747,2008,54,Male,Married,Some College,Industrial,Very Good,Yes,107.9039239
1748,2004,41,Male,Married,Advanced Degree,Information,Very Good,Yes,154.8683672
1749,2005,57,Male,Married,College Grad,Industrial,Good,No,75.35567932
1750,2007,54,Male,Married,Advanced Degree,Industrial,Very Good,Yes,118.5395025
1751,2009,25,Male,Divorced,HS Grad,Industrial,Good,Yes,76.89360252
1752,2003,35,Male,Separated,Less than HS Grad,Information,Very Good,No,62.19867943
1753,2008,29,Male,Married,Some College,Industrial,Very Good,Yes,182.020621
1754,2009,36,Male,Married,HS Grad,Industrial,Very Good,Yes,267.9010869
1755,2005,43,Male,Married,College Grad,Industrial,Good,Yes,141.7751723
1756,2007,41,Male,Married,College Grad,Information,Very Good,Yes,186.8766776
1757,2003,52,Male,Married,College Grad,Industrial,Very Good,No,72.15045568
1758,2005,48,Male,Married,HS Grad,Industrial,Good,No,49.55533812
1759,2003,51,Male,Married,HS Grad,Information,Very Good,No,81.28325328
1760,2004,55,Male,Married,Some College,Information,Very Good,Yes,118.8843593
1761,2004,37,Male,Married,Advanced Degree,Information,Very Good,No,97.49329405
1762,2007,48,Male,Never Married,Some College,Industrial,Very Good,Yes,111.7208494
1763,2003,42,Male,Married,Less than HS Grad,Industrial,Good,Yes,101.8243521
1764,2007,43,Male,Married,College Grad,Industrial,Very Good,Yes,127.1157438
1765,2006,32,Male,Married,HS Grad,Industrial,Good,No,87.98103279
1766,2006,33,Male,Never Married,College Grad,Industrial,Good,Yes,84.04595765
1767,2003,48,Male,Married,HS Grad,Industrial,Very Good,No,78.3924668
1768,2009,20,Male,Never Married,Some College,Information,Very Good,No,46.36650274
1769,2005,43,Male,Married,HS Grad,Industrial,Very Good,Yes,132.8607653
1770,2003,58,Male,Divorced,HS Grad,Information,Good,Yes,61.59458318
1771,2004,38,Male,Married,Some College,Industrial,Very Good,Yes,99.6894637
1772,2008,23,Male,Never Married,HS Grad,Information,Very Good,No,66.22940829
1773,2009,54,Male,Divorced,HS Grad,Industrial,Good,Yes,108.8745258
1774,2007,66,Male,Married,Advanced Degree,Industrial,Good,Yes,99.6894637
1775,2009,47,Male,Married,Advanced Degree,Information,Very Good,Yes,152.838801
1776,2003,35,Male,Married,Some College,Information,Good,No,76.89360252
1777,2008,39,Male,Married,HS Grad,Industrial,Very Good,Yes,143.1349408
1778,2005,35,Male,Never Married,Some College,Information,Very Good,Yes,125.2042866
1779,2006,40,Male,Married,Some College,Industrial,Very Good,Yes,75.61069586
1780,2006,41,Male,Married,HS Grad,Industrial,Very Good,Yes,109.8339856
1781,2004,40,Male,Married,Advanced Degree,Information,Very Good,Yes,176.9896505
1782,2006,50,Male,Married,HS Grad,Industrial,Good,No,59.09706408
1783,2004,35,Male,Married,HS Grad,Industrial,Very Good,Yes,99.6894637
1784,2009,43,Male,Married,Some College,Industrial,Good,No,95.23071257
1785,2005,26,Male,Never Married,Some College,Information,Very Good,Yes,104.9215065
1786,2009,23,Male,Never Married,HS Grad,Information,Very Good,No,49.55533812
1787,2003,61,Male,Married,Advanced Degree,Information,Very Good,No,130.9821774
1788,2004,24,Male,Never Married,College Grad,Information,Good,Yes,43.73511168
1789,2006,66,Male,Married,Some College,Information,Very Good,Yes,118.8843593
1790,2006,50,Male,Widowed,HS Grad,Industrial,Very Good,Yes,109.8339856
1791,2005,22,Male,Never Married,HS Grad,Information,Good,No,75.04315402
1792,2004,62,Male,Married,HS Grad,Information,Good,Yes,91.69922611
1793,2003,55,Male,Married,College Grad,Information,Very Good,Yes,105.9278108
1794,2004,41,Male,Married,College Grad,Industrial,Very Good,No,73.77574327
1795,2005,54,Male,Married,College Grad,Information,Very Good,Yes,170.1568344
1796,2009,29,Male,Married,College Grad,Industrial,Very Good,No,138.2991269
1797,2004,39,Male,Married,HS Grad,Industrial,Good,Yes,101.8243521
1798,2006,71,Male,Divorced,College Grad,Information,Good,No,87.98103279
1799,2003,22,Male,Never Married,College Grad,Industrial,Very Good,Yes,78.3924668
1800,2007,48,Male,Married,College Grad,Information,Very Good,No,123.0896998
1801,2009,35,Male,Married,Some College,Industrial,Good,Yes,116.2653241
1802,2003,46,Male,Married,College Grad,Industrial,Good,No,90.48191336
1803,2003,51,Male,Married,Less than HS Grad,Industrial,Good,Yes,109.8339856
1804,2005,55,Male,Married,HS Grad,Information,Good,Yes,104.9215065
1805,2005,36,Male,Married,HS Grad,Information,Very Good,Yes,118.8843593
1806,2008,57,Male,Married,HS Grad,Industrial,Very Good,No,94.07271475
1807,2005,21,Male,Married,HS Grad,Industrial,Very Good,Yes,141.7751723
1808,2006,60,Male,Married,Advanced Degree,Information,Very Good,Yes,128.6804882
1809,2006,41,Male,Never Married,Some College,Industrial,Good,No,73.77574327
1810,2004,56,Male,Married,College Grad,Information,Good,Yes,139.3538118
1811,2005,32,Male,Never Married,College Grad,Information,Very Good,Yes,94.07271475
1812,2003,32,Male,Married,HS Grad,Industrial,Good,Yes,73.77574327
1813,2006,36,Male,Divorced,Some College,Industrial,Very Good,Yes,107.9039239
1814,2006,28,Male,Never Married,HS Grad,Industrial,Good,No,64.54207487
1815,2009,60,Male,Married,Advanced Degree,Information,Good,No,138.2991269
1816,2003,41,Male,Married,Some College,Information,Very Good,Yes,89.24288466
1817,2006,55,Male,Married,Some College,Industrial,Good,Yes,99.6894637
1818,2003,36,Male,Married,Some College,Industrial,Very Good,Yes,109.8339856
1819,2006,46,Male,Never Married,Some College,Information,Very Good,Yes,90.48191336
1820,2008,62,Male,Married,HS Grad,Industrial,Very Good,No,89.49247952
1821,2006,44,Male,Married,HS Grad,Industrial,Very Good,No,102.7662809
1822,2006,36,Male,Married,College Grad,Industrial,Very Good,Yes,118.8843593
1823,2004,41,Male,Married,HS Grad,Information,Very Good,Yes,148.4131591
1824,2006,22,Male,Never Married,College Grad,Information,Very Good,Yes,114.4757133
1825,2008,51,Male,Married,Advanced Degree,Information,Very Good,Yes,129.9836348
1826,2008,57,Male,Married,Less than HS Grad,Information,Good,Yes,110.7826503
1827,2005,55,Male,Married,HS Grad,Information,Good,Yes,114.4757133
1828,2003,36,Male,Married,College Grad,Information,Very Good,Yes,148.4131591
1829,2008,43,Male,Married,Advanced Degree,Information,Very Good,Yes,276.7784133
1830,2003,38,Male,Married,Some College,Information,Good,No,23.95294448
1831,2006,27,Male,Never Married,Some College,Information,Very Good,No,103.9024706
1832,2007,32,Male,Married,Some College,Industrial,Very Good,Yes,118.8843593
1833,2009,44,Male,Never Married,Less than HS Grad,Industrial,Good,No,71.68674367
1834,2008,56,Male,Married,College Grad,Industrial,Very Good,Yes,276.7784133
1835,2007,38,Male,Married,College Grad,Information,Very Good,Yes,141.7751723
1836,2003,36,Male,Married,Less than HS Grad,Industrial,Good,No,99.6894637
1837,2005,28,Male,Never Married,Some College,Industrial,Very Good,Yes,108.8745258
1838,2005,39,Male,Married,HS Grad,Industrial,Very Good,Yes,79.85490031
1839,2008,42,Male,Never Married,HS Grad,Information,Very Good,No,78.98460618
1840,2009,51,Male,Married,Less than HS Grad,Industrial,Good,Yes,82.6796373
1841,2004,55,Male,Married,HS Grad,Information,Good,Yes,89.49247952
1842,2007,39,Male,Never Married,Advanced Degree,Information,Very Good,Yes,130.9821774
1843,2003,42,Male,Married,Less than HS Grad,Industrial,Very Good,No,109.7060518
1844,2006,33,Male,Married,Advanced Degree,Information,Very Good,Yes,117.1468169
1845,2008,23,Male,Never Married,HS Grad,Information,Good,Yes,73.77574327
1846,2003,40,Male,Married,College Grad,Industrial,Very Good,Yes,81.28325328
1847,2003,40,Male,Married,Some College,Industrial,Good,No,80.85819596
1848,2009,51,Male,Married,Some College,Industrial,Good,Yes,107.9039239
1849,2007,76,Male,Married,College Grad,Industrial,Good,Yes,76.89360252
1850,2007,57,Male,Divorced,Advanced Degree,Industrial,Good,Yes,87.98103279
1851,2003,27,Male,Separated,Some College,Industrial,Very Good,Yes,95.23071257
1852,2005,26,Male,Never Married,HS Grad,Industrial,Very Good,Yes,84.04595765
1853,2005,25,Male,Married,HS Grad,Industrial,Good,Yes,99.6894637
1854,2005,27,Male,Married,Some College,Industrial,Very Good,Yes,101.4020523
1855,2004,33,Male,Never Married,Some College,Information,Good,Yes,87.98103279
1856,2003,51,Male,Divorced,Less than HS Grad,Industrial,Very Good,Yes,87.98103279
1857,2005,22,Male,Never Married,College Grad,Information,Very Good,Yes,94.07271475
1858,2005,47,Male,Married,HS Grad,Industrial,Good,Yes,128.1996369
1859,2009,34,Male,Never Married,Some College,Information,Very Good,Yes,136.5176552
1860,2008,47,Male,Divorced,Some College,Industrial,Very Good,Yes,107.9039239
1861,2005,31,Male,Never Married,Some College,Industrial,Very Good,Yes,123.0896998
1862,2005,46,Male,Married,HS Grad,Industrial,Good,Yes,91.69922611
1863,2006,47,Male,Married,HS Grad,Information,Very Good,Yes,78.3924668
1864,2006,49,Male,Married,College Grad,Industrial,Very Good,Yes,154.685293
1865,2003,40,Male,Married,College Grad,Industrial,Very Good,Yes,136.1577108
1866,2004,51,Male,Married,Less than HS Grad,Information,Very Good,Yes,81.28325328
1867,2008,31,Male,Married,Some College,Industrial,Very Good,Yes,76.28327785
1868,2003,58,Male,Married,HS Grad,Information,Very Good,Yes,109.8339856
1869,2005,48,Male,Married,Some College,Industrial,Very Good,No,87.78843622
1870,2004,54,Male,Divorced,College Grad,Industrial,Very Good,Yes,127.1157438
1871,2007,56,Male,Never Married,Advanced Degree,Information,Very Good,No,154.0729972
1872,2007,61,Male,Married,HS Grad,Industrial,Good,Yes,109.8339856
1873,2009,32,Male,Married,Advanced Degree,Industrial,Very Good,Yes,138.2991269
1874,2007,60,Male,Married,College Grad,Information,Very Good,No,164.6469889
1875,2006,42,Male,Married,Some College,Industrial,Very Good,Yes,138.2991269
1876,2003,22,Male,Never Married,Some College,Information,Very Good,No,44.97829203
1877,2003,46,Male,Married,Some College,Industrial,Very Good,Yes,106.7239776
1878,2005,53,Male,Married,Less than HS Grad,Information,Very Good,Yes,114.4757133
1879,2008,43,Male,Divorced,College Grad,Industrial,Very Good,Yes,73.77574327
1880,2009,32,Male,Never Married,HS Grad,Industrial,Very Good,Yes,75.35567932
1881,2009,30,Male,Married,College Grad,Industrial,Very Good,Yes,141.7751723
1882,2009,50,Male,Never Married,Advanced Degree,Information,Good,Yes,109.8339856
1883,2006,40,Male,Married,Advanced Degree,Information,Very Good,Yes,277.7994802
1884,2009,55,Male,Married,Less than HS Grad,Information,Very Good,No,79.85490031
1885,2004,42,Male,Married,College Grad,Information,Very Good,Yes,166.3249412
1886,2004,35,Male,Never Married,HS Grad,Industrial,Very Good,Yes,75.35567932
1887,2004,33,Male,Married,College Grad,Information,Very Good,Yes,100.0867423
1888,2004,33,Male,Married,Some College,Information,Good,Yes,102.8702469
1889,2003,38,Male,Married,HS Grad,Information,Very Good,Yes,118.7120941
1890,2009,41,Male,Married,HS Grad,Information,Very Good,Yes,117.1468169
1891,2009,42,Male,Married,Advanced Degree,Information,Very Good,No,123.5000178
1892,2009,58,Male,Married,College Grad,Information,Very Good,Yes,148.4131591
1893,2009,45,Male,Married,HS Grad,Industrial,Good,No,76.89360252
1894,2009,47,Male,Never Married,HS Grad,Information,Very Good,Yes,109.8339856
1895,2005,30,Male,Married,HS Grad,Information,Very Good,Yes,105.9278108
1896,2009,34,Male,Married,College Grad,Information,Very Good,Yes,160.6424754
1897,2006,43,Male,Married,Advanced Degree,Information,Very Good,No,149.6950421
1898,2008,58,Male,Separated,Less than HS Grad,Industrial,Very Good,Yes,99.6894637
1899,2009,44,Male,Married,Some College,Industrial,Good,No,104.9235317
1900,2005,28,Male,Married,Less than HS Grad,Industrial,Very Good,No,61.18752643
1901,2004,46,Male,Married,Some College,Information,Very Good,Yes,105.9278108
1902,2008,36,Male,Married,Some College,Industrial,Very Good,Yes,107.9039239
1903,2007,37,Male,Married,HS Grad,Information,Very Good,Yes,70.81503862
1904,2008,47,Male,Married,College Grad,Information,Very Good,Yes,160.6424754
1905,2007,56,Male,Divorced,Some College,Information,Very Good,No,99.6894637
1906,2009,38,Male,Married,Some College,Information,Very Good,Yes,111.7208494
1907,2007,41,Male,Never Married,Less than HS Grad,Industrial,Very Good,No,75.35567932
1908,2004,62,Male,Married,Some College,Information,Good,Yes,94.07271475
1909,2004,40,Male,Married,Some College,Information,Very Good,Yes,87.98103279
1910,2004,44,Male,Married,Advanced Degree,Information,Very Good,Yes,123.0896998
1911,2007,56,Male,Married,College Grad,Industrial,Very Good,Yes,99.6894637
1912,2008,51,Male,Married,Some College,Industrial,Very Good,No,76.89360252
1913,2005,41,Male,Married,Some College,Industrial,Very Good,No,86.69515483
1914,2005,52,Male,Married,Advanced Degree,Information,Very Good,Yes,176.9896505
1915,2008,27,Male,Married,Some College,Information,Very Good,Yes,100.7642728
1916,2004,52,Male,Married,College Grad,Industrial,Good,Yes,114.4757133
1917,2005,51,Male,Divorced,HS Grad,Industrial,Good,No,67.17929148
1918,2009,51,Male,Married,HS Grad,Industrial,Good,Yes,79.85490031
1919,2005,28,Male,Never Married,College Grad,Information,Very Good,Yes,90.48191336
1920,2007,49,Male,Never Married,HS Grad,Information,Very Good,No,57.97094218
1921,2007,61,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,114.4757133
1922,2006,39,Male,Married,HS Grad,Information,Good,Yes,99.6894637
1923,2005,23,Male,Never Married,Less than HS Grad,Industrial,Very Good,No,89.49247952
1924,2007,53,Male,Married,Advanced Degree,Industrial,Very Good,Yes,151.8050963
1925,2004,55,Male,Never Married,Some College,Information,Very Good,Yes,87.98103279
1926,2005,48,Male,Never Married,HS Grad,Information,Very Good,Yes,87.98103279
1927,2007,50,Male,Married,College Grad,Information,Very Good,Yes,104.9215065
1928,2009,31,Male,Never Married,Less than HS Grad,Industrial,Very Good,No,65.11085372
1929,2007,53,Male,Married,HS Grad,Industrial,Good,Yes,128.6804882
1930,2008,49,Male,Married,College Grad,Industrial,Very Good,No,154.685293
1931,2003,49,Male,Never Married,College Grad,Industrial,Very Good,No,130.9821774
1932,2004,43,Male,Married,HS Grad,Industrial,Very Good,Yes,120.5894365
1933,2007,20,Male,Never Married,HS Grad,Industrial,Very Good,Yes,81.28325328
1934,2008,46,Male,Divorced,HS Grad,Information,Very Good,Yes,110.1729303
1935,2005,48,Male,Married,College Grad,Industrial,Very Good,Yes,152.2168068
1936,2005,19,Male,Never Married,HS Grad,Industrial,Very Good,No,70.47601965
1937,2004,56,Male,Divorced,College Grad,Industrial,Very Good,Yes,85.38394038
1938,2003,44,Male,Married,Some College,Industrial,Very Good,No,101.8243521
1939,2009,23,Male,Never Married,HS Grad,Industrial,Very Good,No,85.38394038
1940,2005,42,Male,Never Married,College Grad,Information,Good,Yes,101.8243521
1941,2008,32,Male,Married,Advanced Degree,Industrial,Very Good,No,118.8843593
1942,2003,32,Male,Never Married,HS Grad,Industrial,Very Good,No,73.77574327
1943,2003,43,Male,Married,HS Grad,Industrial,Very Good,No,73.77574327
1944,2008,57,Male,Never Married,College Grad,Industrial,Very Good,Yes,138.610994
1945,2008,26,Male,Married,Some College,Information,Good,Yes,109.8339856
1946,2009,67,Male,Divorced,Some College,Information,Good,Yes,151.5914842
1947,2004,31,Male,Married,Advanced Degree,Information,Very Good,Yes,176.9896505
1948,2006,49,Male,Divorced,Some College,Information,Very Good,Yes,103.9024706
1949,2005,29,Male,Never Married,College Grad,Industrial,Good,Yes,128.6804882
1950,2008,41,Male,Married,Some College,Industrial,Good,No,108.8745258
1951,2006,35,Male,Married,HS Grad,Information,Good,Yes,87.98103279
1952,2009,39,Male,Married,HS Grad,Industrial,Very Good,No,95.23071257
